,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
34,6535,NEAR Protocol,NEAR,near-protocol,323,2020-08-11T00:00:00.000Z,"['platform', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'injective-ecosystem', 'circle-ventures-portfolio', 'sec-security-token', 'alleged-sec-securities']",,1004666471.0,1000000000.0,False,,35,,,,2023-12-14T20:34:00.000Z,2.2776290369754246,186204763.04167688,-10.1462,-0.72138665,-1.48016776,2.35368662,49.812513,121.19751441,104.67245465,2288257526.825228,0.1417,2277629036.98,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
35,2280,Filecoin,FIL,filecoin,406,2017-12-13T00:00:00.000Z,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3', 'filecoin-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,480436556.0,1961022214.0,False,,36,,,,2023-12-14T20:35:00.000Z,4.764065052192944,183812758.28232223,28.244,-0.11195229,1.58540648,-4.15983569,0.52634768,47.79869796,42.69794796,2288831006.235538,0.1417,9342437396.29,,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
36,3077,VeChain,VET,vechain,258,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio']",,72714516834.0,85985041177.0,False,,37,72714516834.0,2192577834.5138717,,2023-12-14T20:35:00.000Z,0.030153233906776943,77454880.2805961,-40.8012,-0.60436855,-2.48204452,21.04150724,46.65208397,82.0842529,73.12008532,2192577834.5138717,0.1358,2592727059.09,,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
37,22861,Celestia,TIA,celestia,104,2023-10-31T16:51:41.000Z,"['platform', 'modular-blockchain', 'egirl-capital-portfolio']",,150687363.366404,1009643835.616404,False,,38,,,,2023-12-14T20:35:00.000Z,14.098823014932474,514779620.4184407,17.4617,-1.77078297,13.63571183,44.83239014,129.69451042,571.1426249,571.1426249,2124514466.6897492,0.1316,14234789746.47,,2023-12-14T20:35:00.000Z,12220.0,Osmosis,OSMO,osmosis,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877,2023-12-14 15:36:36.879321
38,8000,Lido DAO,LDO,lido-dao,273,2020-12-15T00:00:00.000Z,"['defi', 'dao', 'three-arrows-capital-portfolio', 'paradigm-portfolio', 'arbitrum-ecosytem', 'liquid-staking-derivatives', 'optimism-ecosystem', 'standard-crypto-portfolio', 'egirl-capital-portfolio']",1000000000.0,889564892.6628193,1000000000.0,False,,39,889564889.0528482,2078056035.4377682,0.09903106,2023-12-14T20:34:00.000Z,2.3360364836907506,97566102.73870692,19.9865,-0.39733462,1.76943258,-5.77420886,5.20184238,45.5331343,56.11281475,2078056043.8707924,0.1287,2336036483.69,20983882119.97041,2023-12-14T20:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2023-12-14 15:36:36.879321
39,11840,Optimism,OP,optimism-ethereum,396,2022-05-31T16:19:46.000Z,"['layer-2', 'optimism-ecosystem', 'modular-blockchain']",4294967296.0,911294948.0,4294967296.0,False,,40,,,,2023-12-14T20:34:00.000Z,2.227323838884647,301627562.1788727,-16.9375,-0.48772387,-0.71321327,6.63315475,28.69121451,84.2796069,61.08895545,2029748961.9355445,0.1257,9566283045.61,,2023-12-14T20:34:00.000Z,11840.0,Optimism,OP,optimism-ethereum,0x4200000000000000000000000000000000000042,2023-12-14 15:36:36.879321
40,4157,THORChain,RUNE,thorchain,166,2019-07-23T00:00:00.000Z,"['cosmos-ecosystem', 'decentralized-exchange-dex-token', 'defi', 'dex', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem']",,337417587.0,482880467.0,False,,41,191954431.0,1131782856.9451125,5.85987446,2023-12-14T20:35:00.000Z,5.896101752113825,296459263.3648303,71.2085,-0.69125655,-0.2784934,-8.55773852,21.89876497,260.92766037,238.68987766,1989448425.904719,0.1232,2847112367.54,339503591.52452,2023-12-14T20:35:00.000Z,,,,,,2023-12-14 15:36:36.879321
41,27075,Mantle,MNT,mantle,31,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",6219316795.0,3132673946.0131407,6219316794.99,False,,42,1843669839.0,1101774564.8128192,,2023-12-14T20:34:00.000Z,0.5975986272088814,15941924.67183978,9.1541,0.32944435,2.50363698,-6.74459498,32.96156516,83.80836002,47.29614071,1872081649.6304822,0.1159,3716655178.87,,2023-12-14T20:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2023-12-14 15:36:36.879321
42,4030,Algorand,ALGO,algorand,381,2019-06-20T00:00:00.000Z,"['pos', 'platform', 'research', 'smart-contracts', 'arrington-xrp-capital-portfolio', 'kenetic-capital-portfolio', 'usv-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,8006615454.702457,8006615454.702457,False,,43,,,,2023-12-14T20:34:00.000Z,0.21430316899491783,144557544.8181828,19.2774,0.36559025,7.27128709,34.30354637,66.63684757,125.53208675,124.890641,1715843064.8664217,0.1063,2143031689.95,,2023-12-14T20:34:00.000Z,,,,,,2023-12-14 15:36:36.879321
43,5690,Render,RNDR,render,256,2020-06-11T00:00:00.000Z,"['art', 'media', 'vr-ar', 'ai-big-data', 'distributed-computing', 'collectibles-nfts', 'gaming', 'scaling', 'video', 'ethereum-ecosystem', 'solana-ecosystem', 'metaverse', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'polygon-ecosystem', 'web3', 'generative-ai']",536870912.0,371908453.10879594,530962614.97878325,False,,44,,,,2023-12-14T20:34:00.000Z,4.59696979194218,264777604.15246347,31.162,-0.61612505,10.79875702,28.74895394,104.64119425,167.76475759,190.34888086,1709651924.3090796,0.1059,2467979364.64,,2023-12-14T20:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,2023-12-14 15:36:36.879321
